trip_id,trip_property_id,value
BasewUpdatedWalpoleTurns-773009-2044,trip_type,wait
BasewUpdatedWalpoleTurns-772969-1912,note,Waits at East Taunton for Train 2062
BasewUpdatedWalpoleTurns-772969-1912,trip_type,wait
BasewUpdatedWalpoleTurns-772975-1936,note,Waits at East Taunton for Train 2086
BasewUpdatedWalpoleTurns-772975-1936,trip_type,wait
BasewUpdatedWalpoleTurns-772977-1942,note,Waits at East Taunton for Train 2092
BasewUpdatedWalpoleTurns-772977-1942,trip_type,wait
BasewUpdatedWalpoleTurns-772961-1775,note,Waits at Readville for Train 875
BasewUpdatedWalpoleTurns-772961-1775,trip_type,wait
BasewUpdatedWalpoleTurns-772963-1785,note,Waits at Readville for Train 885
BasewUpdatedWalpoleTurns-772963-1785,trip_type,wait
BasewUpdatedWalpoleTurns-772751-793,note,Waits at Readville for Train 893
BasewUpdatedWalpoleTurns-772751-793,trip_type,wait
BasewUpdatedWalpoleTurns-772724-689,note,Waits at Forest Hills for Train 889
BasewUpdatedWalpoleTurns-772724-689,trip_type,wait
BasewUpdatedWalpoleTurns-772725-693,note,Waits at Forest Hills for Train 893
BasewUpdatedWalpoleTurns-772725-693,trip_type,wait
BasewUpdatedWalpoleTurns-772680-565,note,Waits at West Natick for Train 1561
BasewUpdatedWalpoleTurns-772680-565,trip_type,wait
BasewUpdatedWalpoleTurns-772876-1512,note,Waits at West Natick for Train 510
BasewUpdatedWalpoleTurns-772876-1512,trip_type,wait
BasewUpdatedWalpoleTurns-772877-1516,note,Waits at West Natick for Train 514
BasewUpdatedWalpoleTurns-772877-1516,trip_type,wait
BasewUpdatedWalpoleTurns-772879-1522,note,Waits at West Natick for Train 518
BasewUpdatedWalpoleTurns-772879-1522,trip_type,wait
BasewUpdatedWalpoleTurns-772675-553,note,Waits at West Natick for Train 1551
BasewUpdatedWalpoleTurns-772675-553,trip_type,wait
BasewUpdatedWalpoleTurns-772678-559,note,Waits at West Natick for Train 1555
BasewUpdatedWalpoleTurns-772678-559,trip_type,wait
BasewUpdatedWalpoleTurns-772682-571,note,Waits at West Natick for Train 1567
BasewUpdatedWalpoleTurns-772682-571,trip_type,wait
BasewUpdatedWalpoleTurns-772654-515,note,Waits at Framingham for Train 1511
BasewUpdatedWalpoleTurns-772654-515,trip_type,wait
BasewUpdatedWalpoleTurns-772659-519,note,Waits at Framingham for Train 1517
BasewUpdatedWalpoleTurns-772659-519,trip_type,wait
BasewUpdatedWalpoleTurns-772879-1522,note,Waits at Framingham for Train 520
BasewUpdatedWalpoleTurns-772879-1522,trip_type,wait
BasewUpdatedWalpoleTurns-772882-1558,note,Waits at Framingham for Train 556
BasewUpdatedWalpoleTurns-772882-1558,trip_type,wait
BasewUpdatedWalpoleTurns-772884-1562,note,Waits at Framingham for Train 560
BasewUpdatedWalpoleTurns-772884-1562,trip_type,wait
Base-772421-429,note,Waits at Littleton/Route 495 for Train 1427
Base-772421-429,trip_type,wait
Base-772455-1408,note,Waits at Littleton/Route 495 for Train 406
Base-772455-1408,trip_type,wait
SouthWKNDBase25-772528-5806,note,Waits at Readville for Train 5706
SouthWKNDBase25-772528-5806,trip_type,wait
SouthWKNDBase25-772531-5824,note,Waits at Readville for Train 5724
SouthWKNDBase25-772531-5824,trip_type,wait
SouthWKNDBase25-772532-5830,note,Waits at Readville for Train 5730
SouthWKNDBase25-772532-5830,trip_type,wait
SouthWKNDBase25-772534-5838,note,Waits at Readville for Train 5738
SouthWKNDBase25-772534-5838,trip_type,wait
SouthWKNDBase25-772536-5846,note,Waits at Readville for Train 5746
SouthWKNDBase25-772536-5846,trip_type,wait
SouthWKNDBase25-772539-5856,note,Waits at Readville for Train 5754
SouthWKNDBase25-772539-5856,trip_type,wait
SouthWKNDBase25-772541-5868,note,Waits at Readville for Train 5768
SouthWKNDBase25-772541-5868,trip_type,wait
SouthWKNDBase25-772543-5878,note,Waits at Readville for Train 5778
SouthWKNDBase25-772543-5878,trip_type,wait
SouthWKNDBase25-772544-5884,note,Waits at Readville for Train 5784
SouthWKNDBase25-772544-5884,trip_type,wait
SouthWKNDBase25-772546-5892,note,Waits at Readville for Train 5792
SouthWKNDBase25-772546-5892,trip_type,wait
SouthWKNDBase25-772565-6047,note,Waits at Braintree for Train 7047
SouthWKNDBase25-772565-6047,trip_type,wait
SouthWKNDBase25-772626-6979,note,Waits at East Taunton for Train 7029
SouthWKNDBase25-772626-6979,trip_type,wait
SouthWKNDBase25-772509-5715,note,Waits at Readville for Train 5815
SouthWKNDBase25-772509-5715,trip_type,wait
SouthWKNDBase25-772510-5721,note,Waits at Readville for Train 5821
SouthWKNDBase25-772510-5721,trip_type,wait
SouthWKNDBase25-772513-5731,note,Waits at Readville for Train 5831
SouthWKNDBase25-772513-5731,trip_type,wait
SouthWKNDBase25-772515-5739,note,Waits at Readville for Train 5839
SouthWKNDBase25-772515-5739,trip_type,wait
SouthWKNDBase25-772517-5747,note,Waits at Readville for Train 5847
SouthWKNDBase25-772517-5747,trip_type,wait
SouthWKNDBase25-772519-5755,note,Waits at Readville for Train 5855
SouthWKNDBase25-772519-5755,trip_type,wait
SouthWKNDBase25-772520-5767,note,Waits at Readville for Train 5867
SouthWKNDBase25-772520-5767,trip_type,wait
SouthWKNDBase25-772522-5777,note,Waits at Readville for Train 5877
SouthWKNDBase25-772522-5777,trip_type,wait
SouthWKNDBase25-772525-5785,note,Waits at Readville for Train 5885
SouthWKNDBase25-772525-5785,trip_type,wait
SouthWKNDBase25-772527-5793,note,Waits at Readville for Train 5893
SouthWKNDBase25-772527-5793,trip_type,wait
