route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
CR-Needham-7f6dbefb-0,CR-Needham,0,Forest Hills - Needham Heights,,3,200110030,BasewUpdatedWalpoleTurns-772724-689,2
CR-Needham-C1-0,CR-Needham,0,South Station - Needham Heights,,5,200110991,canonical-CR-Needham-C1-0,1
CR-Needham-d774fb34-1,CR-Needham,1,Needham Heights - South Station,,1,200111000,BasewUpdatedWalpoleTurns-772692-602,2
CR-Needham-68a3e69b-1,CR-Needham,1,Needham Heights - Forest Hills,,3,200111020,BasewUpdatedWalpoleTurns-772723-686,2
CR-Needham-C1-1,CR-Needham,1,Needham Heights - South Station,,5,200111991,canonical-CR-Needham-C1-1,1
CR-Newburyport-79533330-0,CR-Newburyport,0,North Station - Newburyport,,1,200120000,Base-774620-125,2
CR-Newburyport-e54dc640-0,CR-Newburyport,0,North Station - Rockport,,1,200120010,Base-774592-27,2
CR-Newburyport-5967b204-0,CR-Newburyport,0,North Station - Rockport,,2,200120040,canonical-CR-Newburyport-C2-0,1
CR-Newburyport-8a970322-0,CR-Newburyport,0,North Station - Newburyport,,3,200120060,canonical-CR-Newburyport-C1-0,1
CR-Newburyport-9b0217f4-0,CR-Newburyport,0,North Station - Beverly,,3,200120080,Base-774641-1129,2
CR-Newburyport-07c1ce1e-0,CR-Newburyport,0,Swampscott - Rockport,,3,200120090,TowerAZone1WKND-783312-5013,2
CR-Newburyport-a7e93146-0,CR-Newburyport,0,Swampscott - Newburyport,,3,200120110,TowerAZone1WKND-783331-5121,2
CR-Newburyport-7e4857df-1,CR-Newburyport,1,Newburyport - North Station,,1,200121000,Base-774617-114,2
CR-Newburyport-d47c5647-1,CR-Newburyport,1,Rockport - North Station,,1,200121010,Base-774593-24,2
CR-Newburyport-05eb9eab-1,CR-Newburyport,1,Rockport - North Station,,2,200121040,canonical-CR-Newburyport-C2-1,1
CR-Newburyport-e6060026-1,CR-Newburyport,1,Newburyport - North Station,,2,200121060,canonical-CR-Newburyport-C1-1,1
CR-Newburyport-97351c1a-1,CR-Newburyport,1,Rockport - Swampscott,,3,200121080,TowerAZone1WKND-783311-5010,2
CR-Newburyport-a9239670-1,CR-Newburyport,1,Newburyport - Swampscott,,3,200121100,TowerAZone1WKND-783327-5102,2
CR-Newburyport-7bd69ec3-1,CR-Newburyport,1,Beverly - North Station,,3,200121120,Base-774642-1132,2
CR-Newburyport-f5cebd1b-1,CR-Newburyport,1,Beverly - North Station,,3,200121150,Base-774644-1150,2
CR-Providence-9cf54fb3-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,1,200130000,BasewUpdatedWalpoleTurns-772753-803,2
CR-Providence-9515a09b-0,CR-Providence,0,South Station - Stoughton via Back Bay,,1,200130010,BasewUpdatedWalpoleTurns-772795-907,2
CR-Providence-744cd707-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200130030,SouthWKNDBase25-772529-5815,2
CR-Providence-743ff41d-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200130050,BasewUpdatedWalpoleTurns-772759-819,2
CR-Providence-c7d78e5d-0,CR-Providence,0,South Station - Providence via Back Bay,,3,200130080,BasewUpdatedWalpoleTurns-772786-875,2
CR-Providence-e7e93ca2-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,3,200130100,BasewUpdatedWalpoleTurns-772773-847,2
CR-Providence-cf299c9f-0,CR-Providence,0,South Station - Stoughton via Back Bay,,3,200130130,BasewUpdatedWalpoleTurns-772807-941,2
CR-Providence-02353231-0,CR-Providence,0,South Station - Providence via Back Bay,,3,200130150,BasewUpdatedWalpoleTurns-772767-835,2
CR-Providence-49a464e3-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,3,200130160,BasewUpdatedWalpoleTurns-772777-855,2
CR-Providence-a9a49f44-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,3,200130170,BasewUpdatedWalpoleTurns-772780-861,2
CR-Providence-1f955147-0,CR-Providence,0,South Station - Stoughton via Back Bay,,3,200130180,BasewUpdatedWalpoleTurns-772806-937,2
CR-Providence-cea1b73d-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,3,200130220,BasewUpdatedWalpoleTurns-772763-827,2
CR-Providence-8344b9b3-0,CR-Providence,0,South Station - Stoughton via Fairmount,,3,200130240,BasewUpdatedWalpoleTurns-772825-991,2
CR-Providence-5ec86501-0,CR-Providence,0,South Station - Providence via Back Bay,,3,200130260,BasewUpdatedWalpoleTurns-772789-885,2
CR-Providence-d36ab58d-0,CR-Providence,0,South Station - Stoughton via Back Bay,,3,200130270,BasewUpdatedWalpoleTurns-772822-979,2
CR-Providence-a72810c2-0,CR-Providence,0,South Station - Providence via Back Bay,,3,200130280,BasewUpdatedWalpoleTurns-772793-893,2
CR-Providence-410d3e77-0,CR-Providence,0,South Station - Providence via Back Bay,,3,200130300,BasewUpdatedWalpoleTurns-772791-889,2
CR-Providence-C1-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,5,200130991,canonical-CR-Providence-C1-0,1
CR-Providence-C2-0,CR-Providence,0,South Station - Stoughton via Back Bay,,5,200130992,canonical-CR-Providence-C2-0,1
CR-Providence-e9395acc-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,1,200131000,BasewUpdatedWalpoleTurns-772776-852,2
CR-Providence-6cae46be-1,CR-Providence,1,Stoughton - South Station via Back Bay,,1,200131010,BasewUpdatedWalpoleTurns-772794-904,2
CR-Providence-b26ac00b-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200131030,BasewUpdatedWalpoleTurns-772792-892,2
CR-Providence-c2a7e4dc-1,CR-Providence,1,Providence - South Station via Back Bay,,3,200131050,BasewUpdatedWalpoleTurns-772766-832,2
CR-Providence-dc0794ca-1,CR-Providence,1,Stoughton - South Station via Back Bay,,3,200131060,BasewUpdatedWalpoleTurns-772796-908,2
CR-Providence-1b128040-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,3,200131090,BasewUpdatedWalpoleTurns-772757-814,2
CR-Providence-e6702e01-1,CR-Providence,1,Providence - South Station via Back Bay,,3,200131100,BasewUpdatedWalpoleTurns-772752-802,2
CR-Providence-e903b16a-1,CR-Providence,1,Providence - South Station via Back Bay,,3,200131120,BasewUpdatedWalpoleTurns-772778-856,2
CR-Providence-0465673f-1,CR-Providence,1,Providence - South Station via Back Bay,,3,200131130,BasewUpdatedWalpoleTurns-772754-806,2
CR-Providence-143c8a71-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,3,200131150,BasewUpdatedWalpoleTurns-772764-828,2
CR-Providence-30afc537-1,CR-Providence,1,Providence - South Station via Back Bay,,3,200131190,BasewUpdatedWalpoleTurns-772774-848,2
CR-Providence-9cd412df-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,3,200131200,BasewUpdatedWalpoleTurns-772770-840,2
